method_name                                                                                   	  retriever_num input images	  retriever_num retrieved image pairs	  retriever_retriever duration sec	isp_rot3 angular errors deg  	isp_trans angular errors deg  	isp_pose errors deg  	  isp_total correspondence generation duration sec	  isp_total two view estimation duration sec	  vg_num input measurements	  vg_num inlier measurements	  vg_num outlier measurements	vg_inlier R angular errors deg  	vg_inlier U angular errors deg  	ra_rotation angle error deg  	  ra_total duration sec	ta_relative translation angle error deg  	ta_translation angle error deg  	  ta_total duration sec	  ta_outlier rejection duration sec	  ta_optimization duration sec	  da_triangulation runtime sec	  da_gtsfm data creation runtime	  da_total duration sec	  ba_number cameras	  ba_number tracks filtered	ba_3d track lengths filtered  	ba_reprojection errors filtered px  	ba_rotation angle error deg  	ba_relative translation angle error deg  	ba_translation angle error deg  	  ba_pose auc @1 deg	  ba_pose auc @2.5 deg	  ba_pose auc @5 deg	  ba_pose auc @10 deg	  ba_pose auc @20 deg	  ba_step 0 run duration sec	  ba_step 1 run duration sec	  ba_step 2 run duration sec	  ba_total run duration sec	  total_total runtime sec
20240128_190804__courtyard__results__num_matched5__maxframelookahead10__760p__unified_sift    	                          38	                                  344	                           28.1821	0.4 / 4.1                    	1.1 / 6.8                     	1.1 / 7.8            	                                          59.4292 	                                     46.2335	                        155	                         133	                           22	0.3 / 0.7                       	1.0 / 3.3                       	1.8 / 2.3                    	             0.169951  	0.8 / 1.9                                	2.5 / 2.8                       	                5.0999 	                            4.77413	                    0.0854909 	                     16.4767  	                       2.57675  	              19.0534  	                 38	                       2773	4.0 / 4.4                     	0.2 / 0.3                           	3.8 / 5.0                    	1.9 / 6.7                                	3.9 / 5.0                       	             0      	                0     	             16.4262	              45.9168	              71.8929	                  3.03046   	                   2.92786  	                  2.88006   	                  8.83855  	                 232.157
20240128_190804__delivery_area__results__num_matched5__maxframelookahead10__760p__unified_sift	                          44	                                  403	                           30.5526	0.2 / 1.7                    	0.5 / 4.3                     	0.5 / 4.4            	                                          33.4572 	                                     34.8883	                        173	                         162	                           11	0.2 / 0.6                       	0.4 / 1.3                       	1.4 / 1.4                    	             0.341211  	0.5 / 0.9                                	2.6 / 3.5                       	                4.73354	                            4.5647 	                    0.105356  	                     11.8152  	                       1.69032  	              13.5055  	                 40	                       2075	3.0 / 4.0                     	0.2 / 0.3                           	0.2 / 0.2                    	0.8 / 4.1                                	3.1 / 3.4                       	             5.18224	               16.8596	             40.7825	              62.2637	              76.2694	                  1.06821   	                   1.07553  	                  1.06157   	                  3.20552  	                 189.165
20240128_190804__electro__results__num_matched5__maxframelookahead10__760p__unified_sift      	                          45	                                  455	                           31.1998	0.2 / 1.2                    	0.7 / 3.3                     	0.7 / 3.3            	                                          33.9175 	                                     34.1686	                        116	                          99	                           17	0.2 / 0.5                       	0.6 / 1.6                       	0.6 / 0.6                    	             0.0624752 	0.7 / 1.3                                	2.1 / 4.9                       	                4.45252	                            4.25767	                    0.120751  	                      6.45408 	                       0.863302 	               7.31738 	                 33	                       1025	3.0 / 3.7                     	0.2 / 0.3                           	0.5 / 0.6                    	1.6 / 6.1                                	1.2 / 2.7                       	             8.43902	               33.0048	             47.5365	              58.1332	              64.5787	                  0.772038  	                   0.722308 	                  0.743415  	                  2.23793  	                 181.165
20240128_190804__facade__results__num_matched5__maxframelookahead10__760p__unified_sift       	                          76	                                  774	                           52.1356	0.3 / 1.1                    	1.1 / 3.9                     	1.1 / 3.9            	                                         169.203  	                                    110.782 	                        451	                         430	                           21	0.2 / 0.8                       	1.0 / 2.6                       	0.9 / 1.5                    	             0.213568  	0.8 / 3.3                                	8.5 / 22.6                      	               31.2397 	                           30.7172 	                    0.293618  	                     40.7702  	                       6.02384  	              46.7941  	                 62	                       5148	4.0 / 5.0                     	0.3 / 0.4                           	0.2 / 0.3                    	0.2 / 0.8                                	0.6 / 0.9                       	            35.117  	               58.3623	             68.5918	              74.4684	              78.1302	                  3.93573   	                   4.26814  	                  3.97736   	                 12.1815   	                 560.581
20240128_190804__kicker__results__num_matched5__maxframelookahead10__760p__unified_sift       	                          31	                                  279	                           24.9742	0.6 / 1.5                    	1.1 / 2.9                     	1.3 / 3.2            	                                          26.6878 	                                     28.8571	                        121	                         117	                            4	0.6 / 1.1                       	1.1 / 2.5                       	0.6 / 0.8                    	             0.0435722 	0.9 / 2.4                                	1.3 / 1.7                       	                4.48847	                            4.36923	                    0.0640576 	                      9.63087 	                       1.25445  	              10.8853  	                 29	                       1363	4.0 / 4.3                     	0.3 / 0.4                           	0.1 / 0.2                    	0.2 / 0.5                                	0.2 / 0.4                       	            64.5583 	               79.7109	             86.9309	              90.2396	              91.894 	                  0.572847  	                   0.557992 	                  0.549298  	                  1.68034  	                 151.766
20240128_190804__meadow__results__num_matched5__maxframelookahead10__760p__unified_sift       	                          15	                                   97	                           15.5551	1.7 / 7.4                    	3.4 / 18.2                    	3.4 / 18.2           	                                          15.1621 	                                     10.9847	                         18	                          10	                            8	0.9 / 6.3                       	2.4 / 14.6                      	0.5 / 0.5                    	             0.00185227	1.8 / 1.4                                	0.2 / 0.2                       	                1.08659	                            1.07473	                    0.00518346	                      0.508589	                       0.0469751	               0.555565	                  4	                         16	3.0 / 3.2                     	0.2 / 0.2                           	0.1 / 0.1                    	0.3 / 0.4                                	0.0 / 0.0                       	            25.073  	               26.0292	             26.3479	              26.5073	              26.587 	                  0.00514293	                   0.0067246	                  0.00490475	                  0.0168879	                  72.097
20240128_190804__office__results__num_matched5__maxframelookahead10__760p__unified_sift       	                          26	                                  215	                           15.0911	0.2 / 2.9                    	1.5 / 12.2                    	1.5 / 12.5           	                                          12.4344 	                                     12.8633	                         43	                          28	                           15	0.2 / 0.2                       	0.8 / 2.0                       	0.1 / 0.2                    	             0.0133779 	1.0 / 1.6                                	0.5 / 0.4                       	                1.63259	                            1.6038 	                    0.0135622 	                      2.61726 	                       0.183653 	               2.80092 	                 12	                        173	3.0 / 4.0                     	0.3 / 0.3                           	0.0 / 0.0                    	0.3 / 0.4                                	0.0 / 0.0                       	            43.5574 	               45.1153	             45.6346	              45.8942	              46.024 	                  0.0679021 	                   0.0647056	                  0.0544112 	                  0.187284 	                  87.8874
20240128_190804__pipes__results__num_matched5__maxframelookahead10__760p__unified_sift        	                          14	                                   85	                           13.8575	0.5 / 2.1                    	1.1 / 2.5                     	1.2 / 2.8            	                                           9.02324	                                      8.1062	                         21	                          15	                            6	0.4 / 0.9                       	1.2 / 1.7                       	0.3 / 0.6                    	             0.00307465	1.1 / 1.3                                	1.3 / 1.4                       	                1.17066	                            1.15951	                    0.00355792	                      2.02713 	                       0.14656  	               2.17369 	                  6	                        103	3.0 / 3.6                     	0.2 / 0.3                           	0.1 / 0.1                    	0.3 / 0.3                                	0.3 / 0.3                       	            31.4063 	               38.2768	             40.567 	              41.7121	              42.2846	                  0.0510862 	                   0.0512011	                  0.0417225 	                  0.144204 	                  59.139
20240128_190804__playground__results__num_matched5__maxframelookahead10__760p__unified_sift   	                          38	                                  373	                           28.7205	0.2 / 1.3                    	0.7 / 16.4                    	0.7 / 16.4           	                                          51.0755 	                                     39.5654	                         93	                          67	                           26	0.2 / 0.7                       	0.5 / 11.0                      	0.7 / 0.8                    	             0.0292456 	0.4 / 6.6                                	14.5 / 20.6                     	                2.45952	                            2.38886	                    0.0438602 	                      3.37572 	                       0.483493 	               3.85921 	                 19	                        230	3.0 / 3.4                     	0.2 / 0.3                           	0.1 / 0.3                    	7.6 / 32.5                               	14.6 / 20.6                     	             0      	                0     	              0     	               2.6116	              13.8658	                  0.56167   	                   0.551739 	                  0.568236  	                  1.68183  	                 188.992
20240128_190804__relief_2__results__num_matched5__maxframelookahead10__760p__unified_sift     	                          31	                                  259	                           23.4374	0.2 / 6.6                    	0.7 / 8.7                     	0.8 / 10.8           	                                          22.443  	                                     22.3068	                        103	                          95	                            8	0.2 / 0.5                       	0.7 / 4.0                       	0.6 / 0.7                    	             0.0448112 	0.4 / 0.6                                	0.5 / 0.7                       	                2.48772	                            2.42736	                    0.0190852 	                      6.77497 	                       0.988493 	               7.76347 	                 22	                       1294	4.0 / 4.3                     	0.2 / 0.3                           	0.1 / 0.1                    	0.2 / 0.2                                	0.1 / 0.1                       	            62.8382 	               67.7159	             69.3418	              70.1548	              70.5613	                  0.375751  	                   0.363384 	                  0.375988  	                  1.11531  	                 129.896
20240128_190804__relief__results__num_matched5__maxframelookahead10__760p__unified_sift       	                          31	                                  257	                           23.4729	0.2 / 3.5                    	0.5 / 5.2                     	0.5 / 6.6            	                                          23.7684 	                                     24.9735	                        124	                         111	                           13	0.2 / 0.6                       	0.4 / 1.8                       	0.3 / 0.4                    	             0.0263512 	0.3 / 0.7                                	0.3 / 0.3                       	                2.26085	                            2.19362	                    0.028857  	                     10.954   	                       1.48289  	              12.4369  	                 19	                       1806	4.0 / 4.8                     	0.2 / 0.3                           	0.0 / 0.0                    	0.1 / 0.1                                	0.0 / 0.0                       	            58.1199 	               60.0222	             60.6562	              60.9733	              61.1318	                  0.704405  	                   0.712772 	                  0.687398  	                  2.10474  	                 140.648
20240128_190804__terrace__results__num_matched5__maxframelookahead10__760p__unified_sift      	                          23	                                  184	                           19.0242	0.3 / 0.8                    	0.9 / 2.5                     	0.9 / 2.5            	                                          19.0569 	                                     18.4352	                         70	                          69	                            1	0.3 / 0.8                       	0.8 / 2.6                       	0.6 / 0.6                    	             0.0378783 	0.7 / 1.2                                	0.9 / 1.1                       	                2.30896	                            2.23997	                    0.0281703 	                      5.10526 	                       0.651498 	               5.75676 	                 23	                        596	3.0 / 3.9                     	0.3 / 0.4                           	0.2 / 0.3                    	0.5 / 0.8                                	0.3 / 0.3                       	            63.2914 	               85.3343	             92.6671	              96.3336	              98.1668	                  0.208794  	                   0.209121 	                  0.201874  	                  0.619948 	                 103.23
20240128_190804__terrains__results__num_matched5__maxframelookahead10__760p__unified_sift     	                          42	                                  380	                           29.209 	0.2 / 0.5                    	0.5 / 0.9                     	0.5 / 0.9            	                                          29.2991 	                                     27.381 	                        100	                          96	                            4	0.2 / 0.5                       	0.5 / 0.9                       	0.3 / 0.4                    	             0.0234463 	0.4 / 0.6                                	0.4 / 0.9                       	                1.73944	                            1.703  	                    0.0144601 	                      4.34286 	                       0.461764 	               4.80462 	                 16	                        402	3.0 / 3.5                     	0.2 / 0.3                           	0.2 / 0.2                    	0.2 / 0.3                                	0.2 / 0.3                       	            26.05   	               33.2771	             35.6862	              36.8907	              37.493 	                  0.100896  	                   0.0943975	                  0.0987136 	                  0.294175 	                 154.61